,State Code,County Code,year,month,Land Use,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
89,1,49,2020,8,AGRICULTURAL,31,0,0,0,0
90,1,49,2020,9,AGRICULTURAL,29,1,0,0,0
91,1,49,2020,10,AGRICULTURAL,29,2,0,0,0
92,1,49,2020,11,AGRICULTURAL,30,0,0,0,0
93,1,49,2020,12,AGRICULTURAL,28,3,0,0,0
94,1,51,2018,3,INDUSTRIAL,12,0,0,0,0
95,1,51,2018,4,INDUSTRIAL,28,2,0,0,0
96,1,51,2018,5,INDUSTRIAL,25,6,0,0,0
97,1,51,2018,6,INDUSTRIAL,25,4,0,0,0
98,1,51,2018,7,INDUSTRIAL,31,0,0,0,0
99,1,51,2018,8,INDUSTRIAL,31,0,0,0,0
100,1,51,2018,9,INDUSTRIAL,30,0,0,0,0
101,1,51,2018,10,INDUSTRIAL,31,0,0,0,0
102,1,51,2019,2,INDUSTRIAL,1,0,0,0,0
103,1,51,2019,3,INDUSTRIAL,27,2,0,0,0
104,1,51,2019,4,INDUSTRIAL,29,1,0,0,0
105,1,51,2019,5,INDUSTRIAL,31,0,0,0,0
106,1,51,2019,6,INDUSTRIAL,26,4,0,0,0
107,1,51,2019,7,INDUSTRIAL,30,1,0,0,0
108,1,51,2019,8,INDUSTRIAL,31,0,0,0,0
109,1,51,2019,9,INDUSTRIAL,23,2,0,0,0
110,1,51,2019,10,INDUSTRIAL,28,3,0,0,0
111,1,51,2020,3,INDUSTRIAL,30,0,0,0,0
112,1,51,2020,4,INDUSTRIAL,30,0,0,0,0
113,1,51,2020,5,INDUSTRIAL,31,0,0,0,0
114,1,51,2020,6,INDUSTRIAL,30,0,0,0,0
115,1,51,2020,7,INDUSTRIAL,31,0,0,0,0
116,1,51,2020,8,INDUSTRIAL,5,0,0,0,0
117,1,51,2020,9,INDUSTRIAL,26,0,0,0,0
118,1,51,2020,10,INDUSTRIAL,20,0,0,0,0
119,1,55,2018,1,COMMERCIAL,9,1,0,0,0
120,1,55,2018,2,COMMERCIAL,9,0,0,0,0
121,1,55,2018,3,AGRICULTURAL,30,0,0,0,0
122,1,55,2018,3,COMMERCIAL,1,0,0,0,0
123,1,55,2018,4,AGRICULTURAL,21,9,0,0,0
124,1,55,2018,5,AGRICULTURAL,20,9,0,0,0
125,1,55,2018,5,COMMERCIAL,1,1,0,0,0
126,1,55,2018,6,AGRICULTURAL,24,4,0,0,0
127,1,55,2018,6,COMMERCIAL,1,1,0,0,0
128,1,55,2018,7,AGRICULTURAL,27,1,0,0,0
129,1,55,2018,7,COMMERCIAL,2,1,0,0,0
130,1,55,2018,8,AGRICULTURAL,27,0,0,0,0
131,1,55,2018,8,COMMERCIAL,2,2,0,0,0
132,1,55,2018,9,AGRICULTURAL,28,0,0,0,0
133,1,55,2018,9,COMMERCIAL,2,0,0,0,0
134,1,55,2018,10,AGRICULTURAL,28,0,0,0,0
135,1,55,2018,10,COMMERCIAL,3,0,0,0,0
136,1,55,2018,11,COMMERCIAL,9,1,0,0,0
137,1,55,2018,12,COMMERCIAL,9,2,0,0,0
138,1,55,2019,1,COMMERCIAL,8,0,0,0,0
139,1,55,2019,2,AGRICULTURAL,1,0,0,0,0
140,1,55,2019,2,COMMERCIAL,9,0,0,0,0
141,1,55,2019,3,AGRICULTURAL,25,5,0,0,0
142,1,55,2019,3,COMMERCIAL,1,0,0,0,0
143,1,55,2019,4,AGRICULTURAL,24,4,0,0,0
144,1,55,2019,4,COMMERCIAL,1,1,0,0,0
145,1,55,2019,5,AGRICULTURAL,26,2,0,0,0
146,1,55,2019,5,COMMERCIAL,1,2,0,0,0
147,1,55,2019,6,AGRICULTURAL,24,2,0,0,0
148,1,55,2019,6,COMMERCIAL,3,1,0,0,0
149,1,55,2019,7,AGRICULTURAL,25,1,0,0,0
150,1,55,2019,7,COMMERCIAL,5,0,0,0,0
151,1,55,2019,8,AGRICULTURAL,23,4,0,0,0
152,1,55,2019,8,COMMERCIAL,4,0,0,0,0
153,1,55,2019,9,AGRICULTURAL,21,7,0,0,0
154,1,55,2019,9,COMMERCIAL,2,0,0,0,0
155,1,55,2019,10,AGRICULTURAL,24,5,0,0,0
156,1,55,2019,10,COMMERCIAL,1,1,0,0,0
157,1,55,2019,11,COMMERCIAL,8,1,0,0,0
158,1,55,2019,12,COMMERCIAL,7,1,0,0,0
159,1,55,2020,1,COMMERCIAL,10,0,0,0,0
160,1,55,2020,2,COMMERCIAL,8,0,0,0,0
161,1,55,2020,3,AGRICULTURAL,26,0,0,0,0
162,1,55,2020,3,COMMERCIAL,3,2,0,0,0
163,1,55,2020,4,AGRICULTURAL,27,0,0,0,0
164,1,55,2020,4,COMMERCIAL,1,2,0,0,0
165,1,55,2020,5,AGRICULTURAL,30,1,0,0,0
166,1,55,2020,6,AGRICULTURAL,24,1,0,0,0
167,1,55,2020,6,COMMERCIAL,4,1,0,0,0
168,1,55,2020,7,AGRICULTURAL,28,0,0,0,0
169,1,55,2020,7,COMMERCIAL,3,0,0,0,0
170,1,55,2020,8,AGRICULTURAL,27,0,0,0,0
171,1,55,2020,8,COMMERCIAL,4,0,0,0,0
172,1,55,2020,9,AGRICULTURAL,20,0,0,0,0
173,1,55,2020,9,COMMERCIAL,6,1,0,0,0
174,1,55,2020,10,AGRICULTURAL,22,0,0,0,0
175,1,55,2020,10,COMMERCIAL,4,4,0,0,0
176,1,55,2020,11,COMMERCIAL,8,2,0,0,0
177,1,55,2020,12,COMMERCIAL,7,3,0,0,0
178,1,69,2018,1,COMMERCIAL,9,1,0,0,0
179,1,69,2018,2,COMMERCIAL,8,2,0,0,0
180,1,69,2018,3,RESIDENTIAL,29,1,0,0,0
181,1,69,2018,4,COMMERCIAL,1,0,0,0,0
182,1,69,2018,4,RESIDENTIAL,25,3,0,0,0
183,1,69,2018,5,COMMERCIAL,0,1,0,0,0
184,1,69,2018,5,RESIDENTIAL,22,8,0,0,0
185,1,69,2018,6,COMMERCIAL,0,2,0,0,0
186,1,69,2018,6,RESIDENTIAL,25,3,0,0,0
187,1,69,2018,7,COMMERCIAL,3,0,0,0,0
188,1,69,2018,7,RESIDENTIAL,28,0,0,0,0
189,1,69,2018,8,COMMERCIAL,4,1,0,0,0
190,1,69,2018,8,RESIDENTIAL,26,0,0,0,0
191,1,69,2018,9,COMMERCIAL,5,0,0,0,0
192,1,69,2018,9,RESIDENTIAL,25,0,0,0,0
193,1,69,2018,10,COMMERCIAL,3,1,0,0,0
194,1,69,2018,10,RESIDENTIAL,26,0,0,0,0
195,1,69,2018,11,COMMERCIAL,9,1,0,0,0
196,1,69,2018,12,COMMERCIAL,9,0,0,0,0
197,1,69,2019,1,COMMERCIAL,10,0,0,0,0
198,1,69,2019,2,COMMERCIAL,9,0,0,0,0
199,1,69,2019,2,RESIDENTIAL,1,0,0,0,0
200,1,69,2019,3,COMMERCIAL,1,3,0,0,0
201,1,69,2019,3,RESIDENTIAL,24,3,0,0,0
202,1,69,2019,4,COMMERCIAL,1,2,0,0,0
203,1,69,2019,4,RESIDENTIAL,26,1,0,0,0
204,1,69,2019,5,COMMERCIAL,1,0,0,0,0
205,1,69,2019,5,RESIDENTIAL,29,1,0,0,0
206,1,69,2019,6,COMMERCIAL,1,3,0,0,0
207,1,69,2019,6,RESIDENTIAL,24,2,0,0,0
208,1,69,2019,7,COMMERCIAL,6,1,0,0,0
209,1,69,2019,7,RESIDENTIAL,24,0,0,0,0
210,1,69,2019,8,COMMERCIAL,4,0,0,0,0
211,1,69,2019,8,RESIDENTIAL,27,0,0,0,0
212,1,69,2019,9,COMMERCIAL,3,3,0,0,0
213,1,69,2019,9,RESIDENTIAL,24,0,0,0,0
214,1,69,2019,10,COMMERCIAL,2,0,0,0,0
215,1,69,2019,10,RESIDENTIAL,29,0,0,0,0
216,1,69,2019,11,COMMERCIAL,10,0,0,0,0
217,1,69,2019,12,COMMERCIAL,7,1,0,0,0
218,1,73,2018,1,COMMERCIAL,11,1,0,0,0
219,1,73,2018,1,RESIDENTIAL,19,0,0,0,0
220,1,73,2018,2,COMMERCIAL,16,0,0,0,0
221,1,73,2018,2,RESIDENTIAL,11,1,0,0,0
222,1,73,2018,3,COMMERCIAL,1,1,0,0,0
223,1,73,2018,3,RESIDENTIAL,19,10,0,0,0
224,1,73,2018,4,COMMERCIAL,5,1,0,0,0
225,1,73,2018,4,RESIDENTIAL,9,15,0,0,0
226,1,73,2018,5,COMMERCIAL,2,6,0,0,0
227,1,73,2018,5,RESIDENTIAL,10,13,0,0,0
228,1,73,2018,6,COMMERCIAL,2,4,0,1,0
229,1,73,2018,6,RESIDENTIAL,15,7,0,1,0
230,1,73,2018,7,COMMERCIAL,9,5,0,0,0
231,1,73,2018,7,RESIDENTIAL,7,10,0,0,0
232,1,73,2018,8,COMMERCIAL,5,2,0,1,0
233,1,73,2018,8,RESIDENTIAL,16,7,0,0,0
234,1,73,2018,9,COMMERCIAL,10,1,0,0,0
235,1,73,2018,9,RESIDENTIAL,18,1,0,0,0
236,1,73,2018,10,COMMERCIAL,9,1,0,0,0
237,1,73,2018,10,RESIDENTIAL,18,3,0,0,0
238,1,73,2018,11,COMMERCIAL,16,4,0,0,0
239,1,73,2018,11,RESIDENTIAL,10,0,0,0,0
240,1,73,2018,12,COMMERCIAL,17,1,0,0,0
241,1,73,2018,12,RESIDENTIAL,13,0,0,0,0
242,1,73,2019,1,COMMERCIAL,15,2,0,0,0
243,1,73,2019,1,RESIDENTIAL,10,4,0,0,0
244,1,73,2019,2,COMMERCIAL,22,1,0,0,0
245,1,73,2019,2,RESIDENTIAL,4,1,0,0,0
246,1,73,2019,3,COMMERCIAL,2,1,0,0,0
247,1,73,2019,3,RESIDENTIAL,22,6,0,0,0
248,1,73,2019,4,COMMERCIAL,4,5,0,0,0
249,1,73,2019,4,RESIDENTIAL,13,8,0,0,0
250,1,73,2019,5,COMMERCIAL,4,5,0,0,0
251,1,73,2019,5,RESIDENTIAL,15,6,0,1,0
252,1,73,2019,6,COMMERCIAL,2,2,0,1,0
253,1,73,2019,6,RESIDENTIAL,17,8,0,0,0
254,1,73,2019,7,COMMERCIAL,6,3,0,0,0
255,1,73,2019,7,RESIDENTIAL,17,5,0,0,0
256,1,73,2019,8,COMMERCIAL,2,4,0,0,0
257,1,73,2019,8,RESIDENTIAL,18,7,0,0,0
258,1,73,2019,9,COMMERCIAL,0,7,0,0,0
259,1,73,2019,9,RESIDENTIAL,8,13,0,2,0
260,1,73,2019,10,COMMERCIAL,11,2,0,2,0
261,1,73,2019,10,RESIDENTIAL,14,1,0,1,0
262,1,73,2019,11,COMMERCIAL,17,2,0,0,0
263,1,73,2019,11,RESIDENTIAL,8,3,0,0,0
264,1,73,2019,12,COMMERCIAL,21,2,0,0,0
265,1,73,2019,12,RESIDENTIAL,8,0,0,0,0
266,1,73,2020,1,COMMERCIAL,23,1,0,0,0
267,1,73,2020,1,RESIDENTIAL,7,0,0,0,0
268,1,73,2020,2,COMMERCIAL,26,0,0,0,0
269,1,73,2020,2,RESIDENTIAL,2,1,0,0,0
270,1,73,2020,3,COMMERCIAL,15,0,0,0,0
271,1,73,2020,3,RESIDENTIAL,14,2,0,0,0
272,1,73,2020,4,COMMERCIAL,20,3,0,0,0
273,1,73,2020,4,RESIDENTIAL,5,2,0,0,0
274,1,73,2020,5,COMMERCIAL,5,2,0,0,0
275,1,73,2020,5,RESIDENTIAL,21,3,0,0,0
276,1,73,2020,6,COMMERCIAL,5,3,0,1,0
277,1,73,2020,6,RESIDENTIAL,18,3,0,0,0
278,1,73,2020,7,COMMERCIAL,8,0,0,0,0
279,1,73,2020,7,RESIDENTIAL,15,8,0,0,0
280,1,73,2020,8,COMMERCIAL,2,2,0,0,0
281,1,73,2020,8,RESIDENTIAL,17,10,0,0,0
282,1,73,2020,9,COMMERCIAL,2,2,0,0,0
283,1,73,2020,9,RESIDENTIAL,24,2,0,0,0
284,1,73,2020,10,COMMERCIAL,2,1,0,0,0
285,1,73,2020,10,RESIDENTIAL,26,2,0,0,0
286,1,73,2020,11,COMMERCIAL,17,3,0,0,0
287,1,73,2020,11,RESIDENTIAL,9,1,0,0,0
288,1,73,2020,12,COMMERCIAL,18,3,0,0,0
289,1,73,2020,12,RESIDENTIAL,9,1,0,0,0
290,1,89,2018,1,COMMERCIAL,10,0,0,0,0
291,1,89,2018,2,AGRICULTURAL,1,0,0,0,0
292,1,89,2018,2,COMMERCIAL,9,0,0,0,0
293,1,89,2018,3,AGRICULTURAL,12,0,0,0,0
294,1,89,2018,3,COMMERCIAL,18,1,0,0,0
295,1,89,2018,4,AGRICULTURAL,8,2,0,0,0
296,1,89,2018,4,COMMERCIAL,15,5,0,0,0
297,1,89,2018,5,AGRICULTURAL,6,1,0,0,0
