,State Code,County Code,year,month,Location Setting,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
0,1,3,2018,1,SUBURBAN,10,0,0,0,0
1,1,3,2018,2,SUBURBAN,10,0,0,0,0
2,1,3,2018,3,SUBURBAN,29,2,0,0,0
3,1,3,2018,4,SUBURBAN,26,4,0,0,0
4,1,3,2018,5,SUBURBAN,20,6,0,0,0
5,1,3,2018,6,SUBURBAN,25,5,0,0,0
6,1,3,2018,7,SUBURBAN,26,5,0,0,0
7,1,3,2018,8,SUBURBAN,31,0,0,0,0
8,1,3,2018,9,SUBURBAN,27,0,0,0,0
9,1,3,2018,10,SUBURBAN,30,1,0,0,0
10,1,3,2018,11,SUBURBAN,4,0,0,0,0
11,1,3,2018,12,SUBURBAN,11,0,0,0,0
12,1,3,2019,1,SUBURBAN,7,1,0,0,0
13,1,3,2019,2,SUBURBAN,9,0,0,0,0
14,1,3,2019,3,SUBURBAN,28,3,0,0,0
15,1,3,2019,4,SUBURBAN,23,5,0,0,0
16,1,3,2019,5,SUBURBAN,28,3,0,0,0
17,1,3,2019,6,SUBURBAN,24,6,0,0,0
18,1,3,2019,7,SUBURBAN,27,4,0,0,0
19,1,3,2019,8,SUBURBAN,28,2,0,0,0
20,1,3,2019,9,SUBURBAN,27,3,0,0,0
21,1,3,2019,10,SUBURBAN,31,0,0,0,0
22,1,3,2019,11,SUBURBAN,7,1,0,0,0
23,1,3,2019,12,SUBURBAN,6,0,0,0,0
24,1,3,2020,1,SUBURBAN,11,0,0,0,0
25,1,3,2020,2,SUBURBAN,10,0,0,0,0
26,1,3,2020,3,SUBURBAN,30,1,0,0,0
27,1,3,2020,4,SUBURBAN,27,3,0,0,0
28,1,3,2020,5,SUBURBAN,29,2,0,0,0
29,1,3,2020,6,SUBURBAN,28,1,0,0,0
30,1,3,2020,7,SUBURBAN,27,1,0,0,0
31,1,3,2020,8,SUBURBAN,28,3,0,0,0
32,1,3,2020,9,SUBURBAN,23,1,0,0,0
33,1,3,2020,10,SUBURBAN,28,1,0,0,0
34,1,3,2020,11,SUBURBAN,8,2,0,0,0
35,1,3,2020,12,SUBURBAN,7,0,0,0,0
36,1,33,2018,1,SUBURBAN,9,1,0,0,0
37,1,33,2018,2,SUBURBAN,9,0,0,0,0
38,1,33,2018,3,SUBURBAN,30,1,0,0,0
39,1,33,2018,4,SUBURBAN,25,4,0,0,0
40,1,33,2018,5,SUBURBAN,20,3,0,0,0
41,1,33,2018,6,SUBURBAN,24,6,0,0,0
42,1,33,2018,7,SUBURBAN,29,2,0,0,0
43,1,33,2018,8,SUBURBAN,28,3,0,0,0
44,1,33,2018,9,SUBURBAN,30,0,0,0,0
45,1,33,2018,10,SUBURBAN,31,0,0,0,0
46,1,33,2018,11,SUBURBAN,9,1,0,0,0
47,1,33,2018,12,SUBURBAN,10,1,0,0,0
48,1,33,2019,1,SUBURBAN,9,0,0,0,0
49,1,33,2019,2,SUBURBAN,10,0,0,0,0
50,1,33,2019,3,SUBURBAN,30,1,0,0,0
51,1,33,2019,4,SUBURBAN,30,0,0,0,0
52,1,33,2019,5,SUBURBAN,29,2,0,0,0
53,1,33,2019,6,SUBURBAN,28,2,0,0,0
54,1,33,2019,7,SUBURBAN,29,2,0,0,0
55,1,33,2019,8,SUBURBAN,31,0,0,0,0
56,1,33,2019,9,SUBURBAN,29,1,0,0,0
57,1,33,2019,10,SUBURBAN,31,0,0,0,0
58,1,49,2018,1,RURAL,31,0,0,0,0
59,1,49,2018,2,RURAL,28,0,0,0,0
60,1,49,2018,3,RURAL,31,0,0,0,0
61,1,49,2018,4,RURAL,21,9,0,0,0
62,1,49,2018,5,RURAL,15,11,0,0,0
63,1,49,2018,6,RURAL,19,7,0,0,0
64,1,49,2018,7,RURAL,26,1,0,0,0
65,1,49,2018,8,RURAL,28,3,0,0,0
66,1,49,2018,9,RURAL,30,0,0,0,0
67,1,49,2018,10,RURAL,31,0,0,0,0
68,1,49,2018,11,RURAL,29,1,0,0,0
69,1,49,2018,12,RURAL,31,0,0,0,0
70,1,49,2019,1,RURAL,31,0,0,0,0
71,1,49,2019,2,RURAL,28,0,0,0,0
72,1,49,2019,3,RURAL,28,3,0,0,0
73,1,49,2019,4,RURAL,27,3,0,0,0
74,1,49,2019,5,RURAL,30,1,0,0,0
75,1,49,2019,6,RURAL,25,5,0,0,0
76,1,49,2019,7,RURAL,27,4,0,0,0
77,1,49,2019,8,RURAL,29,2,0,0,0
78,1,49,2019,9,RURAL,22,8,0,0,0
79,1,49,2019,10,RURAL,28,3,0,0,0
80,1,49,2019,11,RURAL,30,0,0,0,0
81,1,49,2019,12,RURAL,31,0,0,0,0
82,1,49,2020,1,RURAL,31,0,0,0,0
83,1,49,2020,2,RURAL,29,0,0,0,0
84,1,49,2020,3,RURAL,30,1,0,0,0
85,1,49,2020,4,RURAL,30,0,0,0,0
86,1,49,2020,5,RURAL,28,3,0,0,0
87,1,49,2020,6,RURAL,29,1,0,0,0
88,1,49,2020,7,RURAL,30,1,0,0,0
89,1,49,2020,8,RURAL,31,0,0,0,0
90,1,49,2020,9,RURAL,29,1,0,0,0
91,1,49,2020,10,RURAL,29,2,0,0,0
92,1,49,2020,11,RURAL,30,0,0,0,0
93,1,49,2020,12,RURAL,28,3,0,0,0
94,1,51,2018,3,URBAN AND CENTER CITY,12,0,0,0,0
95,1,51,2018,4,URBAN AND CENTER CITY,28,2,0,0,0
96,1,51,2018,5,URBAN AND CENTER CITY,25,6,0,0,0
97,1,51,2018,6,URBAN AND CENTER CITY,25,4,0,0,0
98,1,51,2018,7,URBAN AND CENTER CITY,31,0,0,0,0
99,1,51,2018,8,URBAN AND CENTER CITY,31,0,0,0,0
100,1,51,2018,9,URBAN AND CENTER CITY,30,0,0,0,0
101,1,51,2018,10,URBAN AND CENTER CITY,31,0,0,0,0
102,1,51,2019,2,URBAN AND CENTER CITY,1,0,0,0,0
103,1,51,2019,3,URBAN AND CENTER CITY,27,2,0,0,0
104,1,51,2019,4,URBAN AND CENTER CITY,29,1,0,0,0
105,1,51,2019,5,URBAN AND CENTER CITY,31,0,0,0,0
106,1,51,2019,6,URBAN AND CENTER CITY,26,4,0,0,0
107,1,51,2019,7,URBAN AND CENTER CITY,30,1,0,0,0
108,1,51,2019,8,URBAN AND CENTER CITY,31,0,0,0,0
109,1,51,2019,9,URBAN AND CENTER CITY,23,2,0,0,0
110,1,51,2019,10,URBAN AND CENTER CITY,28,3,0,0,0
111,1,51,2020,3,URBAN AND CENTER CITY,30,0,0,0,0
112,1,51,2020,4,URBAN AND CENTER CITY,30,0,0,0,0
113,1,51,2020,5,URBAN AND CENTER CITY,31,0,0,0,0
114,1,51,2020,6,URBAN AND CENTER CITY,30,0,0,0,0
115,1,51,2020,7,URBAN AND CENTER CITY,31,0,0,0,0
116,1,51,2020,8,URBAN AND CENTER CITY,5,0,0,0,0
117,1,51,2020,9,URBAN AND CENTER CITY,26,0,0,0,0
118,1,51,2020,10,URBAN AND CENTER CITY,20,0,0,0,0
119,1,55,2018,1,URBAN AND CENTER CITY,9,1,0,0,0
120,1,55,2018,2,URBAN AND CENTER CITY,9,0,0,0,0
121,1,55,2018,3,SUBURBAN,30,0,0,0,0
122,1,55,2018,3,URBAN AND CENTER CITY,1,0,0,0,0
123,1,55,2018,4,SUBURBAN,21,9,0,0,0
124,1,55,2018,5,SUBURBAN,20,9,0,0,0
125,1,55,2018,5,URBAN AND CENTER CITY,1,1,0,0,0
126,1,55,2018,6,SUBURBAN,24,4,0,0,0
127,1,55,2018,6,URBAN AND CENTER CITY,1,1,0,0,0
128,1,55,2018,7,SUBURBAN,27,1,0,0,0
129,1,55,2018,7,URBAN AND CENTER CITY,2,1,0,0,0
130,1,55,2018,8,SUBURBAN,27,0,0,0,0
131,1,55,2018,8,URBAN AND CENTER CITY,2,2,0,0,0
132,1,55,2018,9,SUBURBAN,28,0,0,0,0
133,1,55,2018,9,URBAN AND CENTER CITY,2,0,0,0,0
134,1,55,2018,10,SUBURBAN,28,0,0,0,0
135,1,55,2018,10,URBAN AND CENTER CITY,3,0,0,0,0
136,1,55,2018,11,URBAN AND CENTER CITY,9,1,0,0,0
